source_url,department,page_title,type_contacts,categories,contact_count
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/7166c9f9-2916-4925-a38a-c3257823f0cb,correze,Mairie - Saint-Cernin-de-Larche,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/71b79d93-db8a-4011-876f-99b1b76b1712,correze,Mairie - Lagraulière,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/721fe7bf-d758-4d96-b9d1-44992414bcc4,correze,Mairie - Chartrier-Ferrière,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/73e4af43-00a1-433f-bb08-ac99b19c38cf,correze,Service de gestion comptable (SGC) - Ussel,collectivite_administration,administration collectivite service public,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/74196d9a-8751-4a88-87c3-dcf8f005409d,correze,Mairie - Saillac,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/75164ac2-fd27-49f0-8dd3-8b72bee5ef70,correze,Ordre des avocats - Barreau de Tulle,collectivite_administration,administration collectivite service public,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/75d66937-329a-46b7-ab65-471ec54356dd,correze,Point-justice en France services d'Ayen,collectivite_administration,administration collectivite service public,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/75df9078-89c4-4525-86fa-e28285fbcf56,correze,Mairie - Saint-Geniez-ô-Merle,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/776d2e00-e273-4d2f-a90e-0ad5c1426edf,correze,Mairie - Ségur-le-Château,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/779c2620-0367-4bd5-b5e2-d52102ba95d8,correze,Mairie - Millevaches,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/77a22487-9be0-41e3-9c7c-dfc33af20dd6,correze,Service de la publicité foncière et de l'enregistrement (SPFE) - Tulle,collectivite_administration,administration collectivite service public,1
